	"HPCC RA"		"Compiler options"		"N_U"
			"--fast"		"(2^19)*numLocales"
					
"NL"	"TPL"	"Trial 1"	"Trial 2"	"Trial 3"	
1	1	0.000239824	0.000239229	0.000238694	
1	2	0.0000614943	0.0000594178	0.000060592	
1	3	0.0000470651	0.0000477283	0.0000495481	
1	4	0.0000520528	0.0000507327	0.0000503011	
1	5	0.000049654	0.0000505507	0.0000516446	
1	6	0.0000499986	0.0000499274	0.0000496554	
2	1	0.0000492204	0.0000489095	0.0000430024	
2	2	0.0000552676	0.0000545335	0.0000543129	
2	3	0.0000683724	0.0000668804	0.0000636651	
2	4	0.000067225	0.0000673559	0.0000669951	
2	5	0.0000670477	0.0000670733	0.0000663152	
2	6	0.0000684368	0.0000687913	0.0000690577	
4	1	0.0000595491	0.0000592428	0.0000549164	
4	2	0.000081568	0.0000774863	0.0000795447	
4	3	0.0000907966	0.0000908055	0.0000893269	
4	4	0.0000956903	0.0000956786	0.0000952733	
4	5	0.0000986468	0.0000992059	0.0000996872	
4	6	0.000103123	0.000102399	0.000102402	
8	1	0.0000945043	0.0000943161	0.0000951148	
8	2	0.000135828	0.00013595	0.000137556	
8	3	0.00015602	0.000156705	0.000155448	
8	4	0.000167014	0.000166917	0.000166616	
8	5	0.000173871	0.000173927	0.000174734	
8	6	0.000180581	0.000180132	0.000180505	
16	1	0.000175191	0.000174097	0.000176061	
16	2	0.000250208	0.000254059	0.000254556	
16	3	0.000289662	0.000289895	0.000290756	
16	4	0.000308716	0.000310063	0.000308147	
16	5	0.00032332	0.000321943	0.000323574	
16	6	0.000329972	0.000333969	0.000331592	
32	1	0.000336476	0.000337537	0.0003388	
32	2	0.000491263	"R,S"	0.000489707	
32	3	0.000547242	0.000552697	0.000546443	
32	4	0.000589387	0.000589143	0.000588518	
32	5	0.000609271	0.000612336	0.000612744	
32	6	"R,S"	0.000627368	0.000625139	
64	1	0.000650032	0.00062937	"M"	
64	2	0.000749451	0.000919481	0.000919024	
64	3	0.00102969	0.00103409	0.00103864	
64	4	0.00110198	0.00109021	0.00108408	
64	5	0.00110198	0.00110481	0.00110481	
64	6	0.00112534	0.0011247	0.00113126	
128	1	0.00117913	0.00122621	0.00123134	
128	2	0.0016818	0.0016757	0.00167847	
128	3	"M"	"V"	0.00184671	
128	4	0.00191369	"D"	0.00201393	
128	5	0.001993	0.00199553	0.00199809	
128	6	"R"	0.00199866	"T"	
256	1	0.00244452	0.00246161	0.00239462	
256	2	0.00317307	0.0031221	0.00316338	
256	3	"M"	0.00332451	0.00332963	
256	4	0.00320791	0.00320468	0.00313199	
256	5	0.00302108	0.00298922	0.00302694	
256	6	"E"	"T"	"R,S,T"	
512	1	0.0043883	0.00455182	"V"	
512	2	"K"	"T"	"MEM"	
512	3	"MEM"	"MEM"	"MEM"	
512	4	"MEM"	"MEM"	"MEM"	
512	5	"MEM"	"M"	0.00390729	
512	6	"V"	0.00357664	"V"	
1024	1	0.00799357	"M"	"MIDNIGHT"	
1024	2	"V,R,S"	"T"	"MEM"	
1024	3	"NA"	"NA"	"NA"	
1024	4	"NA"	"NA"	"NA"	
1024	5	"NA"	"NA"	"NA"	
1024	6	"NA"	"NA"	"NA"	
					
"Error types:"	"T – timeout"				
	"M – PTL_ME_INUSE (3)"				
	"V - PTL_VAL_FAILED (26)"				
	"E – PTL_EVENT_PUT_END"				
	"R – PTL_EVENT_REPLY_END"				
	"D - PTL_MD_INVALID (9)"				
	"S – PTL_EVENT_SEND_END"				
	"K - Apid 1983078 killed. Received node failed or halted event"				
	"NA – job hasn't made it through the queue yet"				
	"MEM – ra.chpl:81: out of memory allocating “_data”"				
